رقم الفاتورة,تاريخ ووقت البيع,اسم المنتج,الكمية,سعر القطعة,تكلفة المنتج,المحافظة
ORD-1256,2026-08-19 14:19:00,هودي شتوي رمادي,3,700,300,طنطا
ORD-1416,2026-08-16 23:12:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1134,2026-08-30 14:24:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1344,2026-08-04 16:10:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1328,2026-08-25 20:50:00,تيشرت قطن أبيض,1,350,150,القاهرة
ORD-1127,2026-08-26 21:50:00,تيشرت قطن أبيض,2,350,150,الجيزة
ORD-1426,2026-08-16 20:55:00,هودي شتوي رمادي,3,700,300,القاهرة
ORD-1030,2026-08-19 16:36:00,فستان صيفي مشجر,3,800,350,الجيزة
ORD-1449,2026-08-19 19:21:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1134,2026-08-05 12:53:00,بنطلون جينز أسود,2,600,250,المنيا
ORD-1157,2026-08-02 19:11:00,هودي شتوي رمادي,3,700,300,المنصورة
ORD-1301,2026-08-18 14:50:00,بنطلون جينز أسود,2,600,250,الجيزة
ORD-1464,2026-08-03 14:24:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1127,2026-08-24 15:41:00,هودي شتوي رمادي,3,700,300,المنيا
ORD-1015,2026-08-05 17:43:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1003,2026-08-08 21:29:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1059,2026-08-10 23:57:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1072,2026-08-08 16:36:00,حذاء رياضي مريح,2,950,400,طنطا
ORD-1018,2026-08-05 23:16:00,حذاء رياضي مريح,3,950,400,الجيزة
ORD-1235,2026-08-01 19:54:00,سويت شيرت زيتي,2,500,220,الإسكندرية
ORD-1201,2026-08-22 14:39:00,فستان صيفي مشجر,1,800,350,القاهرة
ORD-1032,2026-08-01 15:31:00,حذاء رياضي مريح,1,950,400,المنيا
ORD-1216,2026-08-20 20:16:00,فستان صيفي مشجر,2,800,350,طنطا
ORD-1105,2026-08-26 21:57:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1137,2026-08-10 16:26:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1243,2026-08-08 11:07:00,حذاء رياضي مريح,1,950,400,طنطا
ORD-1292,2026-08-27 11:36:00,قميص كاجوال كحلي,2,450,200,المنيا
ORD-1127,2026-08-05 12:20:00,بنطلون جينز أسود,3,600,250,طنطا
ORD-1122,2026-08-22 13:44:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
